File;Method Name;Average; Distance From Mean
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.postSingleEvent( Object event , PostingThreadState postingState );12;1.2548969942586972
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.postSingleEventForEventType( Object event , PostingThreadState postingState , Class < ? > eventClass );21;10.254896994258697
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.postToSubscription( Subscription subscription , Object event , boolean isMainThread );24;13.254896994258697
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.register( Object subscriber );8;-2.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.subscribe( Object subscriber , SubscriberMethod subscriberMethod );26;15.254896994258697
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.unregister( Object subscriber );6;-4.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.unsubscribeByEventType( Object subscriber , Class < ? > eventType );11;0.25489699425869716
EventBus/src/org/greenrobot/eventbus/EventBusBuilder.java;EventBusBuilder.addIndex( SubscriberInfoIndex index );5;-5.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBusBuilder.java;EventBusBuilder.getLogger( );5;-5.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBusBuilder.java;EventBusBuilder.getMainThreadSupport( );6;-4.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBusBuilder.java;EventBusBuilder.installDefaultEventBus( );8;-2.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBusBuilder.java;EventBusBuilder.skipMethodVerificationFor( Class < ? > clazz );5;-5.745103005741303
EventBus/src/org/greenrobot/eventbus/PendingPost.java;PendingPost.obtainPendingPost( Subscription subscription , Object event );11;0.25489699425869716
EventBus/src/org/greenrobot/eventbus/PendingPost.java;PendingPost.releasePendingPost( PendingPost pendingPost );8;-2.745103005741303
EventBus/src/org/greenrobot/eventbus/PendingPostQueue.java;PendingPostQueue.enqueue( PendingPost pendingPost );10;-0.7451030057413028
EventBus/src/org/greenrobot/eventbus/PendingPostQueue.java;PendingPostQueue.poll( );7;-3.745103005741303
EventBus/src/org/greenrobot/eventbus/PendingPostQueue.java;PendingPostQueue.poll( int maxMillisToWait );4;-6.745103005741303
EventBus/src/org/greenrobot/eventbus/SubscriberMethod.java;SubscriberMethod.checkMethodString( );7;-3.745103005741303
EventBus/src/org/greenrobot/eventbus/SubscriberMethod.java;SubscriberMethod.equals( Object other );9;-1.7451030057413028
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;FindState.checkAdd( Method method , Class < ? > eventType );10;-0.7451030057413028
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;FindState.checkAddWithMethodSignature( Method method , Class < ? > eventType );9;-1.7451030057413028
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;FindState.moveToSuperclass( );6;-4.745103005741303
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;SubscriberMethodFinder.findSubscriberMethods( Class < ? > subscriberClass );14;3.254896994258697
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;SubscriberMethodFinder.findUsingInfo( Class < ? > subscriberClass );14;3.254896994258697
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;SubscriberMethodFinder.findUsingReflection( Class < ? > subscriberClass );7;-3.745103005741303
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;SubscriberMethodFinder.findUsingReflectionInSingleClass( FindState findState );28;17.254896994258697
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;SubscriberMethodFinder.getMethodsAndRelease( FindState findState );10;-0.7451030057413028
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;SubscriberMethodFinder.getSubscriberInfo( FindState findState );10;-0.7451030057413028
EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java;SubscriberMethodFinder.prepareFindState( );9;-1.7451030057413028
EventBus/src/org/greenrobot/eventbus/Subscription.java;Subscription.equals( Object other );6;-4.745103005741303
EventBus/src/org/greenrobot/eventbus/Subscription.java;Subscription.hashCode( );2;-8.745103005741303
EventBus/src/org/greenrobot/eventbus/android/AndroidComponents.java;AndroidComponents.areAvailable( );2;-8.745103005741303
EventBus/src/org/greenrobot/eventbus/android/AndroidDependenciesDetector.java;AndroidDependenciesDetector.isAndroidSDKAvailable( );7;-3.745103005741303
