File;Method Name;Mutant Density
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.is_scm;1
ansible/galaxy/dependency_resolution/providers;CollectionDependencyProviderBase._find_matches;37
ansible/galaxy/dependency_resolution/providers;PinnedCandidateRequests.__contains__;5
ansible/galaxy/dependency_resolution/providers;CollectionDependencyProviderBase.__init__;6
ansible/galaxy/dependency_resolution/providers;CollectionDependencyProviderBase.is_satisfied_by;10
ansible/galaxy/dependency_resolution/providers;CollectionDependencyProviderBase.get_dependencies;4
ansible/galaxy/dependency_resolution/providers;CollectionDependencyProvider060.find_matches;2
ansible/galaxy/dependency_resolution/providers;CollectionDependencyProviderBase._is_user_requested;5
ansible/galaxy/dependency_resolution/providers;CollectionDependencyProviderBase._get_preference;2
ansible/galaxy/dependency_resolution/providers;__init__;4
ansible/galaxy/dependency_resolution/providers;__iter__;2
ansible/galaxy/dependency_resolution/providers;__contains__;2
ansible/galaxy/dependency_resolution/providers;__len__;2
ansible/galaxy/dependency_resolution/providers;find_matches;4
ansible/galaxy/dependency_resolution/providers;get_preference;8
ansible/galaxy/role;GalaxyRole.install;87
ansible/galaxy/role;GalaxyRole.__init__;8
ansible/galaxy/role;GalaxyRole.__repr__;2
ansible/galaxy/role;GalaxyRole.metadata;6
ansible/galaxy/role;GalaxyRole.install_info;5
ansible/galaxy/role;GalaxyRole.fetch;12
ansible/galaxy/role;GalaxyRole.requirements;8
ansible/galaxy/role;GalaxyRole.api;2
ansible/galaxy/role;GalaxyRole.metadata_dependencies;5
ansible/galaxy/role;GalaxyRole._write_galaxy_install_info;4
ansible/galaxy/role;GalaxyRole._exists;1
ansible/galaxy/role;GalaxyRole.remove;2
ansible/galaxy/role;api;1
ansible/galaxy/role;metadata;1
ansible/galaxy/role;metadata_dependencies;1
ansible/galaxy/role;install_info;1
ansible/galaxy/role;_exists;1
ansible/galaxy/role;spec;1
ansible/galaxy/role;requirements;1
ansible/galaxy/role;GalaxyRole.__eq__;1
ansible/galaxy/token;KeycloakToken._form_payload;1
ansible/galaxy/token;KeycloakToken.headers;1
ansible/galaxy/token;GalaxyToken._read;9
